wavelength |      transmission
     0.467 |    0.836179324494
     0.468 |    0.837094202172
     0.469 |    0.837922089173
      0.47 |    0.838602224213
     0.471 |    0.839500906615
     0.472 |    0.840310186759
     0.473 |    0.840998505592
     0.474 |    0.841661610013
     0.475 |    0.841941363202
     0.476 |    0.841872767877
     0.477 |    0.842028153017
     0.478 |    0.842960329437
     0.479 |    0.844335325137
      0.48 |    0.845778877573
     0.481 |    0.847187324489
     0.482 |     0.84851123504
     0.483 |    0.849788082625
     0.484 |    0.851075476202
     0.485 |    0.852158399297
     0.486 |    0.853375674532
     0.487 |    0.854382265761
     0.488 |    0.855303746525
     0.489 |    0.856065908914
      0.49 |    0.856839343875
     0.491 |     0.85763341432
     0.492 |    0.858463543241
     0.493 |     0.85927897995
     0.494 |    0.860059452302
     0.495 |    0.860808862309
     0.496 |    0.861454050449
     0.497 |    0.862017072309
     0.498 |    0.862486689577
     0.499 |    0.862803623784
       0.5 |    0.863040800303
     0.501 |    0.863189078053
     0.502 |    0.863108448124
     0.503 |    0.862732885643
     0.504 |    0.859819206986
     0.505 |    0.863650831906
     0.506 |    0.863657671182
     0.507 |    0.864346467382
     0.508 |    0.865687488901
     0.509 |    0.867067652963
      0.51 |    0.868304291673
     0.511 |    0.869599993385
     0.512 |    0.870392986142
     0.513 |    0.871054317324
     0.514 |    0.871607989202
     0.515 |    0.872109251835
     0.516 |    0.872614581263
     0.517 |    0.873132985264
     0.518 |    0.873645294935
     0.519 |    0.874119401673
      0.52 |    0.874579668738
     0.521 |    0.874908020617
     0.522 |    0.875168468191
     0.523 |    0.875306531506
     0.524 |    0.875194553903
     0.525 |    0.875171297085
     0.526 |    0.875386817608
     0.527 |    0.875193498296
     0.528 |    0.875299869487
     0.529 |    0.875259919499
      0.53 |    0.875358837261
     0.531 |    0.875530249497
     0.532 |    0.875851912514
     0.533 |    0.876282133544
     0.534 |    0.876878582006
     0.535 |    0.877591257344
     0.536 |    0.878357617791
     0.537 |    0.879012850889
     0.538 |    0.879548253413
     0.539 |    0.879886202295
      0.54 |    0.879994275587
     0.541 |    0.879483564886
     0.542 |    0.879507706615
     0.543 |    0.880629009842
     0.544 |    0.880102161232
     0.545 |    0.880872555747
     0.546 |    0.880532974302
     0.547 |    0.881538917548
     0.548 |    0.882229602086
     0.549 |    0.882766561247
      0.55 |    0.883115832027
     0.551 |    0.883563917073
     0.552 |     0.88394456429
     0.553 |    0.884241448225
     0.554 |    0.884482076794
     0.555 |    0.884647369479
     0.556 |    0.884744149525
     0.557 |    0.884768289466
     0.558 |    0.884719300622
     0.559 |    0.884558922252
      0.56 |    0.884366522088
     0.561 |    0.884150292961
     0.562 |    0.883918139151
     0.563 |    0.883678596955
     0.564 |    0.883471620271
     0.565 |    0.883253169235
     0.566 |    0.882993936198
     0.567 |    0.882595251233
     0.568 |    0.881483009351
     0.569 |    0.878323587543
      0.57 |    0.878971693582
     0.571 |     0.88044373823
     0.572 |    0.878578404582
     0.573 |    0.878602596385
     0.574 |     0.87863108914
     0.575 |    0.878524832946
     0.576 |    0.879078606692
     0.577 |    0.879746437342
     0.578 |    0.880997866003
     0.579 |    0.882511655745
      0.58 |    0.884313334328
     0.581 |    0.886270445409
     0.582 |    0.887897935622
     0.583 |    0.889344353766
     0.584 |    0.890370943947
     0.585 |    0.891240374135
     0.586 |    0.891630924006
     0.587 |    0.891322788272
     0.588 |    0.886564109163
     0.589 |     0.87567895441
      0.59 |    0.876761605583
     0.591 |    0.882882221241
     0.592 |    0.878712526728
     0.593 |     0.88259410155
     0.594 |    0.881739890851
     0.595 |    0.879834199934
     0.596 |    0.886069827236
     0.597 |    0.885820443751
     0.598 |    0.887922843351
     0.599 |    0.889513312243
       0.6 |     0.89157678053
     0.601 |     0.89320094357
     0.602 |    0.893660255335
     0.603 |    0.894469650088
     0.604 |    0.895334190556
     0.605 |    0.895943342136
     0.606 |    0.896662557905
     0.607 |    0.897438339081
     0.608 |    0.898239786817
     0.609 |    0.899065007332
      0.61 |    0.899914985611
     0.611 |    0.900751914323
     0.612 |    0.901549807278
     0.613 |    0.902297199901
     0.614 |    0.903009439352
     0.615 |    0.903682526297
     0.616 |    0.904328015851
     0.617 |    0.904921059864
     0.618 |    0.905462560526
     0.619 |    0.905925023579
      0.62 |    0.906315011815
     0.621 |    0.906641789208
     0.622 |    0.906913001894
     0.623 |    0.907106412267
     0.624 |     0.90728891244
     0.625 |    0.907379065415
     0.626 |    0.907289906775
     0.627 |    0.906510113176
     0.628 |    0.884665133869
     0.629 |    0.898419091572
      0.63 |     0.89836277398
     0.631 |    0.905364093966
     0.632 |    0.906613607833
     0.633 |    0.909585934355
     0.634 |    0.911578042049
     0.635 |    0.912715312837
     0.636 |    0.914139605628
     0.637 |    0.915310411009
     0.638 |    0.916792500473
     0.639 |    0.917703975521
      0.64 |    0.918767430008
     0.641 |    0.919619498325
     0.642 |    0.920513684968
     0.643 |    0.920844068437
     0.644 |    0.921753096268
     0.645 |    0.921671975312
     0.646 |    0.919411453414
     0.647 |    0.914116779507
     0.648 |    0.909019096083
     0.649 |    0.909803956024
