wavelength,irradiance 
430.08,1.5179
430.77,1.5180
431.47,1.5506
432.18,1.5946
432.89,1.6421
433.60,1.6893
434.31,1.7313
435.03,1.7618
435.75,1.7777
436.48,1.7876
437.21,1.7868
437.94,1.7852
438.68,1.7915
439.42,1.8041
440.17,1.8240
440.92,1.8476
441.67,1.8805
442.43,1.9062
443.19,1.9246
443.96,1.9386
444.73,1.9503
445.50,1.9568
446.28,1.9669
447.06,1.9888
447.85,2.0156
448.64,2.0372
449.43,2.0527
450.23,2.0673
451.04,2.0717
451.85,2.0641
452.66,2.0541
453.48,2.0485
454.30,2.0485
455.13,2.0487
455.96,2.0523
456.80,2.0604
457.64,2.0681
458.48,2.0739
459.33,2.0786
460.19,2.0835
461.05,2.0860
461.92,2.0877
462.79,2.0839
463.66,2.0761
464.54,2.0658
465.43,2.0558
466.32,2.0432
467.22,2.0331
468.12,2.0310
469.03,2.0313
469.94,2.0341
470.86,2.0407
471.78,2.0500
472.71,2.0590
473.64,2.0683
474.58,2.0779
475.53,2.0867
476.48,2.0934
477.44,2.1002
478.40,2.1066
479.37,2.1084
480.34,2.1061
481.33,2.0886
482.31,2.0619
483.31,2.0284
484.30,1.9943
485.31,1.9632
486.32,1.9407
487.34,1.9333
488.37,1.9388
489.40,1.9512
490.43,1.9667
491.48,1.9812
492.53,1.9941
493.59,2.0008
494.65,2.0035
495.72,1.9999
496.80,1.9918
497.89,1.9825
498.98,1.9698
500.08,1.9594
501.19,1.9516
502.30,1.9494
503.42,1.9523
504.55,1.9581
505.69,1.9647
506.83,1.9689
507.99,1.9680
509.14,1.9627
510.31,1.9546
511.49,1.9352
512.67,1.9091
513.86,1.8829
515.06,1.8598
516.27,1.8397
517.49,1.8268
518.71,1.8304
519.94,1.8429
521.18,1.8540
522.43,1.8668
523.69,1.8819
524.96,1.8954
526.24,1.9004
527.52,1.9043
528.82,1.9140
530.12,1.9235
531.44,1.9267
532.76,1.9274
534.09,1.9268
535.43,1.9227
536.79,1.9142
538.15,1.9059
539.52,1.8996
540.90,1.8953
542.29,1.8938
543.69,1.8935
545.11,1.8947
546.53,1.8951
547.96,1.8963
549.41,1.8957
550.86,1.8922
552.33,1.8861
553.80,1.8798
555.29,1.8726
556.79,1.8647
558.30,1.8566
559.82,1.8518
561.36,1.8496
562.90,1.8468
564.46,1.8457
566.03,1.8469
567.61,1.8484
569.21,1.8490
570.81,1.8495
572.43,1.8503
574.06,1.8516
575.71,1.8512
577.37,1.8489
579.04,1.8462
580.72,1.8396
582.42,1.8309
584.13,1.8215
585.86,1.8116
587.59,1.8024
589.35,1.7944
591.11,1.7901
592.90,1.7865
594.69,1.7835
596.50,1.7801
598.33,1.7764
600.17,1.7709
602.03,1.7633
603.90,1.7556
605.78,1.7460
607.69,1.7338
609.60,1.7220
611.54,1.7109
613.49,1.7000
615.46,1.6893
617.44,1.6821
619.44,1.6776
621.46,1.6720
623.49,1.6657
625.54,1.6602
627.61,1.6553
629.70,1.6484
631.81,1.6405
633.93,1.6337
636.07,1.6273
638.23,1.6191
640.41,1.6106
642.61,1.6027
644.82,1.5902
647.06,1.5764
649.31,1.5635
651.59,1.5515
653.88,1.5402
656.20,1.5315
658.53,1.5285
660.89,1.5284
663.27,1.5277
665.66,1.5260
668.08,1.5241
670.52,1.5197
672.99,1.5116
675.47,1.5031
677.98,1.4946
680.50,1.4856
683.06,1.4765
685.63,1.4671
688.23,1.4574
690.85,1.4473
693.49,1.4372
696.16,1.4275
698.85,1.4176
701.56,1.4078
704.30,1.3982
707.07,1.3883
709.85,1.3782
712.67,1.3680
715.51,1.3575
718.37,1.3473
721.26,1.3379
724.18,1.3287
727.12,1.3191
730.09,1.3099
733.08,1.3012
736.10,1.2924
739.15,1.2834
742.22,1.2753
745.33,1.2680
748.46,1.2604
